gene,log2FC,p_value
ENSG00000005238,0.016794678907653605,0.7677098049704709
ENSG00000005243,0.06694155889994141,0.36549118187444174
ENSG00000005249,0.17987451075633876,0.031563478166770624
ENSG00000005302,0.004028332962529011,0.9274638985518178
ENSG00000005339,0.03787885870734292,0.36795876234051395
ENSG00000005379,0.02146499079948389,0.8286895513282104
ENSG00000005381,1.3446722130520905,0.05274340311016971
ENSG00000005421,-0.055692780642235123,0.187992958565181
ENSG00000005436,0.12299660293041081,0.0365286888935166
ENSG00000005448,0.30812305590027317,0.028368298722969334
ENSG00000005469,0.1366119825416439,0.05076370984665859
ENSG00000005471,0.278267098240364,0.0143585070459094
ENSG00000005483,0.1095722417544756,0.07053795859394286
ENSG00000005486,0.0907673931996748,0.2925629035599137
ENSG00000005513,-0.10527939494999128,0.8671403028569149
ENSG00000005700,0.16109408523779448,0.006120331836610243
ENSG00000005801,0.0019596326447982124,0.9817746278656272
ENSG00000005810,0.14196614292856052,0.021959240220289142
ENSG00000005812,-0.1494433326028962,0.009469378693022968
ENSG00000005844,0.03350480043423825,0.6721796581782027
ENSG00000005882,0.004278647392525065,0.9551153785293615
ENSG00000005884,0.15662766669109326,0.08112949608752262
ENSG00000005889,0.05263465908323056,0.5173918013311825
ENSG00000005893,0.14096713938473243,0.04036833426362755
ENSG00000005961,,0.0005158845490623989
ENSG00000005981,0.03917591369622634,0.8106153401441296
ENSG00000006007,-0.0980497867853478,0.019247022010923064
ENSG00000006015,0.011874451139587388,0.8156102392065364
ENSG00000006016,-0.05627687345688523,0.713158082193444
ENSG00000006025,0.019100903569666886,0.9017263791203943
ENSG00000006042,-0.11628166395673063,0.24569845262223014
ENSG00000006047,-0.09634310936549106,0.18790178340353764
ENSG00000006059,0.011110242514631052,0.9819800869779259
ENSG00000006062,-0.13243008714384394,0.3445905803262971
ENSG00000006071,-0.5642416529489722,0.33764686810907774
ENSG00000006116,0.06613419653746958,0.8738223466742375
ENSG00000006118,0.2261331688944749,0.2783473746379474
ENSG00000006125,0.08281622421481447,0.07057645941580833
ENSG00000006128,-0.15406626794291972,0.9167665708112329
ENSG00000006194,-0.03576282130584095,0.37333097444134167
